Beacon Rock,,,Young Warriors,Pitch 1,,5.,8,,,174,PRCs,«««,,Mixed,F,9/16/14,,,,,,,,,,,,
Beacon Rock,,,Young Warriors,Pitch 2,,5.,9,,,174,PRCs,«««,,TR,,9/16/14,,,,,,,,,,,,
Beacon Rock,,,Young Warriors,Pitch 3,,5.,9,,,174,PRCs,«««,,Trad,F,9/16/14,,,,,,,,,,,,
Beacon Rock,,,Young Warriors,Pitch 4,,5.,9,,,174,PRCs,«««,,TR,,9/16/14,,,,,,,,,,,,
Beacon Rock,,,Crusin,,,5.,7,,,175,PRCs,«««,,Trad,F,8/23/14,,,,,,,,,,,,
Beacon Rock,,Southeast Face,Southeast Face,Pitch 1,,5.,6,,,176,PRCs,«««,,Trad,RP,9/12/14,8/27/14,8/23/14,8/6/13,,,,,,,,,
Beacon Rock,,Southeast Face,Southeast Face,Pitch 2,,5.,2,,,176,PRCs,«,,Trad,RP,9/12/14,8/27/14,8/23/14,8/6/13,,,,,,,,,
Beacon Rock,,Southeast Face,Southeast Face,Pitch 3,,5.,7,,,176,PRCs,«««,,Trad,F,9/12/14,8/27/14,8/23/14,8/6/13,,,,,,,,,
Beacon Rock,,Southeast Face,Southeast Face,Pitch 4,,5.,6,,,176,PRCs,««,,TR,RP,9/12/14,8/27/14,8/23/14,8/6/13,,,,,,,,,
Beacon Rock,,Southeast Face,Southeast Face,Pitch 5,,5.,6,,,176,PRCs,««,,Trad,F,9/12/14,9/10/14,8/27/14,8/23/14,8/6/13,,,,,,,,
Beacon Rock,,Southeast Face,Southeast Face,Pitch 6,,5.,4,,,176,PRCs,«««,,Trad,RP,9/12/14,9/10/14,8/27/14,8/23/14,8/6/13,,,,,,,,
Beacon Rock,,Southeast Face,Southeast Face,Pitch 7,,5.,5,,,176,PRCs,«««,,Trad,RP,9/12/14,9/10/14,8/27/14,8/23/14,8/6/13,,,,,,,,
Beacon Rock,,,Jill's Thrill,Pitch 1,,5.,9,,,178,PRCs,«««,,TR,RP,9/14/14,9/10/14,,,,,,,,,,,
Beacon Rock,,,Jill's Thrill,Pitch 2,,5.,9,,,178,PRCs,«««,,TR,RP,9/14/14,9/10/14,,,,,,,,,,,
Beacon Rock,,,Jill's Thrill,Pitch 3,,5.,9,,,178,PRCs,«««,,Trad,F,9/14/14,9/10/14,,,,,,,,,,,
Beacon Rock,,,Right Gull,Pitch 1,,5.,6,,,178,PRCs,««,,Trad,F,9/16/14,,,,,,,,,,,,
Beacon Rock,,,Right Gull,Pitch 2,,5.,10a,,,178,PRCs,««,,Mixed/Aid,,9/16/14,,,,,,,,,,,,
Beacon Rock,,,Right Gull,Pitch 3,,5.,8,,,178,PRCs,««,,TR,,9/16/14,,,,,,,,,,,,
Beacon Rock,,,Little Wing,,,5.,8,,,181,PRCs,«««,,Trad,F,9/16/14,9/14/14,9/10/14,,,,,,,,,,
